"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.048197600E-2,1.909999996E-1,-2.129999995E-1,-9.999999776E-3,2.862691036E-1
4.525266800E-2,1.099999994E-2,-1.770000011E-1,9.999999776E-3,1.776231977E-1
5.002343700E-2,-8.999999613E-3,-1.780000031E-1,1.400000043E-2,1.787763998E-1
5.479391800E-2,-1.400000043E-2,-1.679999977E-1,1.200000010E-2,1.690088733E-1
5.956445600E-2,-8.999999613E-3,-1.819999963E-1,1.099999994E-2,1.825540979E-1
6.433514600E-2,-1.300000027E-2,-1.829999983E-1,1.099999994E-2,1.837906401E-1
6.910568900E-2,-4.999999888E-3,-1.679999977E-1,9.999999776E-3,1.683716105E-1
7.387615000E-2,-4.999999888E-3,-1.949999928E-1,9.999999776E-3,1.953202427E-1
7.864691800E-2,-9.999999776E-3,-2.060000002E-1,6.000000052E-3,2.063298333E-1
8.341760400E-2,-7.000000216E-3,-2.049999982E-1,8.000000380E-3,2.052754230E-1
8.818814400E-2,-7.000000216E-3,-2.169999927E-1,8.999999613E-3,2.172993254E-1
9.295860600E-2,2.000000095E-3,-2.010000050E-1,9.999999776E-3,2.012585452E-1
9.772928400E-2,-8.000000380E-3,-2.129999995E-1,8.999999613E-3,2.133401036E-1
1.024998250E-1,-8.000000380E-3,-2.399999946E-1,2.600000054E-2,2.415367414E-1
1.072705150E-1,1.999999955E-2,-2.399999946E-1,2.800000086E-2,2.424541141E-1
1.120410730E-1,2.099999972E-2,-2.399999946E-1,4.399999976E-2,2.449020159E-1
1.168117630E-1,4.899999872E-2,-2.389999926E-1,5.999999866E-2,2.512409126E-1
1.215823030E-1,8.999999613E-3,-2.119999975E-1,7.699999958E-2,2.257299246E-1
1.263527830E-1,-3.000000026E-3,-2.259999961E-1,1.070000008E-1,2.500679875E-1
1.311234730E-1,-1.600000076E-2,-2.389999926E-1,1.230000034E-1,2.692693769E-1
1.358940140E-1,-1.600000076E-2,-2.119999975E-1,1.389999986E-1,2.540098395E-1
