Temps	EA1	Temps	EA2
0	1.59019329864532	0	0.0598158100619912
0.0001	1.60020396113396	0.0001	0.0398771455511451
0.0002	1.6102146236226	0.0002	0.0249231471680105
0.0003	1.61521995486692	0.0003	-1.83470547199249E-7
0.0004	1.62523061735556	0.0004	-0.0149541818536818
0.0005	1.63524127984419	0.0005	-0.0348928463645279
0.0006	1.64525194233283	0.0006	-0.0498468447476625
0.0007	1.65526260482147	0.0007	-0.0697855092585087
0.0008	1.67027859855443	0.0008	-0.0897241737693548
0.0009	1.69029992353171	0.0009	-0.104678172152489
0.001	1.70531591726467	0.001	-0.124616836663336
0.0011	1.73034257348627	0.0011	-0.13957083504647
0.0012	1.75036389846355	0.0012	-0.159509499557316
0.0013	1.77539055468515	0.0013	-0.174463497940451
0.0014	1.80542254215106	0.0014	-0.194402162451297
0.0015	1.83545452961698	0.0015	-0.209356160834432
0.0016	1.87549717957154	0.0016	-0.229294825345278
0.0017	1.92054516077042	0.0017	-0.249233489856124
0.0018	1.96559314196929	0.0018	-0.264187488239259
0.0019	2.01564645441249	0.0019	-0.284126152750105
0.002	2.07070509810001	0.002	-0.304064817260951
0.0021	2.13076907303184	0.0021	-0.319018815644085
0.0022	2.195838379208	0.0022	-0.33397281402722
0.0023	2.26090768538415	0.0023	-0.353911478538066
0.0024	2.34099298529327	0.0024	-0.368865476921201
0.0025	2.41607295395806	0.0025	-0.383819475304335
0.0026	2.50616891635582	0.0026	-0.39877347368747
0.0027	2.59626487875357	0.0027	-0.413727472070605
0.0028	2.71639282861724	0.0028	-0.428681470453739
0.0029	2.85153677221388	0.0029	-0.443635468836874
0.003	2.99669137829915	0.003	-0.453604801092297
0.0031	3.18188863433897	0.0031	-0.46357413334772
0.0032	3.3921125466004	0.0032	-0.473543465603143
0.0033	3.6473844400607	0.0033	-0.488497463986278
0.0034	3.95270964596421	0.0034	-0.498466796241701
0.0035	4.32310415804386	0.0035	-0.503451462369412
0.0036	4.77358397003263	0.0036	-0.513420794624835
0.0037	5.29413841944188	0.0037	-0.518405460752547
0.0038	5.87475684378296	0.0038	-0.523390126880258
0.0039	6.46038059936836	0.0039	-0.52837479300797
0.004	6.98594038002193	0.004	-0.533359459135681
0.0041	7.35633489210159	0.0041	-0.533359459135681
0.0042	7.55154281063005	0.0042	-0.533359459135681
0.0043	7.57156413560733	0.0043	-0.538344125263393
0.0044	7.42140419827774	0.0044	-0.538344125263393
0.0045	7.14110564859584	0.0045	-0.538344125263393
0.0046	6.77071113651618	0.0046	-0.533359459135681
0.0047	6.33024198701605	0.0047	-0.533359459135681
0.0048	5.85473551880568	0.0048	-0.538344125263393
0.0049	5.35920772561803	0.0049	-0.533359459135681
0.005	4.85366926994175	0.005	-0.533359459135681
0.0051	4.34813081426546	0.0051	-0.533359459135681
0.0052	3.83758702734485	0.0052	-0.533359459135681
0.0053	3.33705390291288	0.0053	-0.52837479300797
0.0054	2.85153677221388	0.0054	-0.52837479300797
0.0055	2.37603030400351	0.0055	-0.52837479300797
0.0056	1.92054516077042	0.0056	-0.52837479300797
0.0057	1.49509200500324	0.0057	-0.523390126880258
0.0058	1.10467616794631	0.0058	-0.523390126880258
0.0059	0.759308312088251	0.0059	-0.518405460752547
0.006	0.45898843742907	0.006	-0.513420794624835
0.0061	0.208721875213087	0.0061	-0.513420794624835
0.0062	-0.00650736829265952	0.0062	-0.508436128497124
0.0063	-0.181693961843848	0.0063	-0.508436128497124
0.0064	-0.321843236684799	0.0064	-0.503451462369412
0.0065	-0.436965855304152	0.0065	-0.503451462369412
0.0066	-0.537072480190545	0.0066	-0.493482130113989
0.0067	-0.61715778009966	0.0067	-0.488497463986278
0.0068	-0.692237748764455	0.0068	-0.478528131730855
0.0069	-0.757307054940611	0.0069	-0.473543465603143
0.007	-0.817371029872447	0.007	-0.468558799475431
0.0071	-0.872429673559964	0.0071	-0.46357413334772
0.0072	-0.92748831724748	0.0072	-0.453604801092297
0.0073	-0.982546960934997	0.0073	-0.448620134964585
0.0074	-1.02759494213387	0.0074	-0.438650802709162
0.0075	-1.07264292333275	0.0075	-0.428681470453739
0.0076	-1.11769090453163	0.0076	-0.418712138198316
0.0077	-1.15272822324187	0.0077	-0.408742805942893
0.0078	-1.1877655419521	0.0078	-0.39877347368747
0.0079	-1.22780819190666	0.0079	-0.388804141432047
0.008	-1.25283484812826	0.008	-0.373850143048912
